INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 14:01:53.4955 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 14:01:58.6116 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 16:09:35.9444 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 16:09:35.9444 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 16:09:35.9444 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 16:09:35.9444 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 16:09:35.9444 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 16:09:40.6300 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 16:13:47.6248 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 16:13:47.6248 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 16:13:47.6248 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 16:13:47.6248 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 16:13:47.6248 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 16:13:52.5269 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 16:22:03.8700 |***| 14|***| Microsoft.Hosting.Lifetime|
